Booking_ID,Date_Time,Year,Month,Day_of_Week,Hour,Customer_ID,Customer_Type,Booking_Type,Seat_Type,Duration_Hours,Total_Amount_MYR,Payment_Method,Rating,Peak_Hour,Occupancy_Rate_%,Seat_Available
BK02840,02-01-2020 11:04,2020,1,Thursday,11,C1334,University Student,Walk-in,Private Room,2.5,37.5,E-Wallet,3,No,62,Yes
BK04448,02-01-2020 12:21,2020,1,Thursday,12,C1015,University Student,Walk-in,Individual,2.1,8.4,Card,5,No,61,Yes
BK04414,02-01-2020 20:34,2020,1,Thursday,20,C0900,University Student,Walk-in,Private Room,1.9,28.5,Cash,4,Yes,53,Yes
BK00673,03-01-2020 16:41,2020,1,Friday,16,C1450,Working Professional,Pre-Booked,Group,2.9,11.6,Cash,4,Yes,61,N/A
BK02875,03-01-2020 20:11,2020,1,Friday,20,C0123,University Student,Pre-Booked,Private Room,1.7,25.5,E-Wallet,5,Yes,65,N/A
BK01182,04-01-2020 03:02,2020,1,Saturday,3,C1076,University Student,Pre-Booked,Individual,3.1,12.4,Card,5,No,62,N/A
BK00492,04-01-2020 17:29,2020,1,Saturday,17,C0879,Working Professional,Walk-in,Private Room,1.8,27,Card,1,Yes,76,Yes
BK01947,04-01-2020 20:10,2020,1,Saturday,20,C1687,Working Professional,Walk-in,Individual,1.9,7.6,E-Wallet,4,Yes,75,Yes
BK03353,04-01-2020 22:07,2020,1,Saturday,22,C0828,Working Professional,Pre-Booked,Private Room,2.9,43.5,Card,3,No,75,N/A
BK01772,05-01-2020 12:54,2020,1,Sunday,12,C1201,University Student,Walk-in,Individual,2.1,8.4,Card,4,No,68,Yes
BK05294,07-01-2020 03:33,2020,1,Tuesday,3,C0320,Freelancer,Pre-Booked,Individual,2.2,8.8,E-Wallet,4,No,64,N/A
BK00885,07-01-2020 08:40,2020,1,Tuesday,8,C1562,Freelancer,Pre-Booked,Individual,1.8,7.2,Card,5,No,60,N/A
BK02558,07-01-2020 18:43,2020,1,Tuesday,18,C1639,University Student,Pre-Booked,Group,2.7,10.8,Card,5,Yes,50,N/A
